u,rcos(u),rsin(u),c*u
0.0,2.0,0.0,0.0
0.15707963267948966,1.9753766811902755,0.31286893008046174,0.3141592653589793
0.3141592653589793,1.902113032590307,0.6180339887498948,0.6283185307179586
0.47123889803846897,1.7820130483767358,0.9079809994790935,0.9424777960769379
0.6283185307179586,1.618033988749895,1.1755705045849463,1.2566370614359172
0.7853981633974483,1.4142135623730951,1.414213562373095,1.5707963267948966
0.9424777960769379,1.1755705045849463,1.618033988749895,1.8849555921538759
1.0995574287564276,0.9079809994790936,1.7820130483767356,2.199114857512855
1.2566370614359172,0.6180339887498949,1.902113032590307,2.5132741228718345
1.413716694115407,0.31286893008046185,1.9753766811902755,2.827433388230814
1.5707963267948966,1.2246467991473532e-16,2.0,3.141592653589793
1.7278759594743862,-0.3128689300804616,1.9753766811902755,3.4557519189487724
1.8849555921538759,-0.6180339887498947,1.9021130325903073,3.7699111843077517
2.0420352248333655,-0.9079809994790934,1.7820130483767358,4.084070449666731
2.199114857512855,-1.175570504584946,1.618033988749895,4.39822971502571
2.356194490192345,-1.414213562373095,1.4142135623730951,4.71238898038469
2.5132741228718345,-1.6180339887498947,1.1755705045849465,5.026548245743669
2.670353755551324,-1.7820130483767356,0.9079809994790937,5.340707511102648
2.827433388230814,-1.902113032590307,0.618033988749895,5.654866776461628
2.9845130209103035,-1.9753766811902753,0.31286893008046196,5.969026041820607
3.141592653589793,-2.0,2.4492935982947064e-16,6.283185307179586
3.2986722862692828,-1.9753766811902755,-0.31286893008046146,6.5973445725385655
3.4557519189487724,-1.9021130325903073,-0.6180339887498946,6.911503837897545
3.612831551628262,-1.7820130483767358,-0.9079809994790934,7.225663103256524
3.7699111843077517,-1.6180339887498951,-1.175570504584946,7.5398223686155035
3.9269908169872414,-1.4142135623730954,-1.414213562373095,7.853981633974483
4.084070449666731,-1.1755705045849465,-1.6180339887498947,8.168140899333462
4.241150082346221,-0.9079809994790938,-1.7820130483767356,8.482300164692441
4.39822971502571,-0.6180339887498951,-1.902113032590307,8.79645943005142
4.5553093477052,-0.31286893008046207,-1.9753766811902753,9.1106186954104
4.71238898038469,-3.6739403974420594e-16,-2.0,9.42477796076938
4.869468613064179,0.31286893008046135,-1.9753766811902755,9.738937226128359
5.026548245743669,0.6180339887498945,-1.9021130325903073,10.053096491487338
5.183627878423159,0.9079809994790933,-1.782013048376736,10.367255756846317
5.340707511102648,1.1755705045849458,-1.6180339887498951,10.681415022205297
5.497787143782138,1.4142135623730947,-1.4142135623730954,10.995574287564276
5.654866776461628,1.6180339887498947,-1.1755705045849467,11.309733552923255
5.811946409141117,1.7820130483767356,-0.9079809994790939,11.623892818282235
5.969026041820607,1.902113032590307,-0.6180339887498952,11.938052083641214
6.126105674500097,1.9753766811902753,-0.31286893008046224,12.252211349000193
6.283185307179586,2.0,-4.898587196589413e-16,12.566370614359172
