training size,epoch number,learning rate,dropout rate,training time
0.2,1.0,1e-06,0.25,3.884153911843896
0.2,5.0,1e-06,0.25,57.62836930481717
0.2,10.0,1e-06,0.25,114.93757063988596
0.2,15.0,1e-06,0.25,171.92420326499268
0.2,1.0,1e-05,0.25,3.5031654140911996
0.2,5.0,1e-05,0.25,56.75971150491387
0.2,10.0,1e-05,0.25,113.38460413599387
0.2,15.0,1e-05,0.25,169.96582066873088
0.2,5.0,0.0001,0.25,56.66207724995911
0.2,10.0,0.0001,0.25,112.6962165068835
0.2,15.0,0.0001,0.25,169.21173179196194
0.2,1.0,0.001,0.25,3.7975042602047324
0.2,5.0,0.001,0.25,56.81877881800756
0.2,10.0,0.001,0.25,113.28809470310807
0.2,15.0,0.001,0.25,169.31315164687112
0.2,5.0,0.01,0.25,57.11420893575996
0.2,10.0,0.01,0.25,113.2314756498672
0.2,15.0,0.01,0.25,169.55337768699974
0.2,1.0,1e-06,0.5,3.473883360158652
0.2,5.0,1e-06,0.5,56.435082260053605
0.2,10.0,1e-06,0.5,113.12366562196985
0.2,15.0,1e-06,0.5,169.36809187429026
0.2,1.0,1e-05,0.5,3.667971347924322
0.2,5.0,1e-05,0.5,56.65116118500009
0.2,10.0,1e-05,0.5,112.69524799566716
0.2,15.0,1e-05,0.5,169.53832604270428
0.2,1.0,0.0001,0.5,3.5703415679745376
0.2,5.0,0.0001,0.5,56.70946121495217
0.2,10.0,0.0001,0.5,112.75047628907487
0.2,15.0,0.0001,0.5,169.14748695027083
0.2,5.0,0.001,0.5,57.33144167298451
0.2,10.0,0.001,0.5,113.74970094300807
0.2,15.0,0.001,0.5,169.98546960903332
0.2,1.0,0.01,0.5,3.7802563277073205
0.2,5.0,0.01,0.5,58.27097038272768
0.2,15.0,0.01,0.5,175.35789786698297
0.2,1.0,1e-06,0.75,3.6974993948824704
0.2,5.0,1e-06,0.75,58.74244088213891
0.2,10.0,1e-06,0.75,116.35895866993815
0.2,15.0,1e-06,0.75,174.78764758910984
0.2,1.0,1e-05,0.75,3.7377151348628104
0.2,5.0,1e-05,0.75,58.75086978869513
0.2,10.0,1e-05,0.75,117.27012985106558
0.2,15.0,1e-05,0.75,175.36759407166392
0.2,1.0,0.0001,0.75,3.6550656841136515
0.2,5.0,0.0001,0.75,56.77687126304954
0.2,10.0,0.0001,0.75,112.88134051812813
0.2,15.0,0.0001,0.75,169.79466619575396
0.2,1.0,0.001,0.75,3.6285042641684413
0.2,5.0,0.001,0.75,57.021059684921056
0.2,10.0,0.001,0.75,113.23363150190562
0.2,15.0,0.001,0.75,169.17758542485535
0.2,1.0,0.01,0.75,3.4828655808232725
0.2,15.0,0.01,0.75,169.4499316997826
0.2,15.0,1e-06,0.9,169.52124117081985
0.2,1.0,1e-05,0.9,3.6455943640321493
0.2,5.0,1e-05,0.9,56.97838905407116
0.2,10.0,1e-05,0.9,113.32158231642097
0.2,15.0,1e-05,0.9,169.20349444821477
0.2,1.0,0.0001,0.9,3.5795317851006985
0.2,5.0,0.0001,0.9,56.2418130999431
0.2,10.0,0.0001,0.9,111.36286022188142
0.2,15.0,0.0001,0.9,166.06187067599967
0.2,1.0,0.001,0.9,3.6271020169369876
0.2,5.0,0.001,0.9,55.827056783717126
0.2,10.0,0.001,0.9,111.14800372999161
0.2,15.0,0.001,0.9,166.4991668188013
0.2,1.0,0.01,0.9,3.399933987762779
0.2,5.0,0.01,0.9,55.19706374499947
0.2,10.0,0.01,0.9,110.44164636172354
0.2,15.0,0.01,0.9,165.88375390786678
0.4,1.0,1e-06,0.25,7.038107292726636
0.4,5.0,1e-06,0.25,71.69631337374449
0.4,10.0,1e-06,0.25,143.04239004198462
0.4,15.0,1e-06,0.25,214.5524921049364
0.4,1.0,1e-05,0.25,6.941701331175864
0.4,5.0,1e-05,0.25,73.62942706095055
0.4,10.0,1e-05,0.25,148.31341088190675
0.4,15.0,1e-05,0.25,223.35292192408815
0.4,1.0,0.0001,0.25,6.831984869204462
0.4,5.0,0.0001,0.25,71.54375597834587
0.4,10.0,0.0001,0.25,142.50036214198917
0.4,15.0,0.0001,0.25,213.8113019382581
0.4,1.0,0.001,0.25,6.804481841158122
0.4,5.0,0.001,0.25,71.45119969220832
0.4,10.0,0.001,0.25,143.0830739652738
0.4,15.0,0.001,0.25,214.58766740793362
0.4,5.0,0.01,0.25,71.33589535532519
0.4,10.0,0.01,0.25,143.05091539025307
0.4,15.0,0.01,0.25,215.41002776334062
0.4,1.0,1e-06,0.5,7.433614507783204
0.4,5.0,1e-06,0.5,76.16795190609992
0.4,10.0,1e-06,0.5,152.2446767538786
0.4,15.0,1e-06,0.5,228.32381475809962
0.4,1.0,1e-05,0.5,7.276405392680317
0.4,5.0,1e-05,0.5,76.28456969698891
0.4,10.0,1e-05,0.5,151.90038945293054
0.4,15.0,1e-05,0.5,227.29959390079603
0.4,1.0,0.0001,0.5,7.159900279715657
0.4,5.0,0.0001,0.5,75.64798051770777
0.4,10.0,0.0001,0.5,151.53276014281437
0.4,15.0,0.0001,0.5,226.39489304693416
0.4,1.0,0.001,0.5,7.181405274197459
0.4,5.0,0.001,0.5,72.32946437504143
0.4,10.0,0.001,0.5,143.94944928400218
0.4,15.0,0.001,0.5,215.59057943196967
0.4,1.0,0.01,0.5,7.002696607727557
0.4,5.0,0.01,0.5,73.34783345181495
0.4,10.0,0.01,0.5,146.72368484502658
0.4,15.0,0.01,0.5,219.87489107903093
0.4,5.0,1e-06,0.75,74.82989308098331
0.4,10.0,1e-06,0.75,149.45197824109346
0.4,15.0,1e-06,0.75,224.28110673604533
0.4,1.0,1e-05,0.75,7.135833112988621
0.4,5.0,1e-05,0.75,74.75177055969834
0.4,10.0,1e-05,0.75,149.3217543857172
0.4,15.0,1e-05,0.75,223.57440005103126
0.4,1.0,0.0001,0.75,8.011745964642614
0.4,5.0,0.0001,0.75,76.88730803178623
0.4,10.0,0.0001,0.75,149.55926816770807
0.4,15.0,0.0001,0.75,221.99021564563736
0.4,1.0,0.001,0.75,6.885662800166756
0.4,5.0,0.001,0.75,72.19515685131773
0.4,10.0,0.001,0.75,143.95959405926988
0.4,15.0,0.001,0.75,215.6663432829082
0.4,1.0,0.01,0.75,7.40644966205582
0.4,5.0,0.01,0.75,76.50956337107345
0.4,10.0,0.01,0.75,152.35422382084653
0.4,15.0,0.01,0.75,228.0713599100709
0.4,1.0,1e-06,0.9,7.262848722282797
0.4,5.0,1e-06,0.9,75.77308143489063
0.4,10.0,1e-06,0.9,151.07155465288088
0.4,15.0,1e-06,0.9,226.27999951690435
0.4,1.0,1e-05,0.9,7.3958592102862895
0.4,5.0,1e-05,0.9,76.76859712135047
0.4,10.0,1e-05,0.9,152.71757041942328
0.4,15.0,1e-05,0.9,228.08520307438448
0.4,1.0,0.0001,0.9,7.252366087865084
0.4,5.0,0.0001,0.9,75.58731512585655
0.4,10.0,0.0001,0.9,150.71737658977509
0.4,15.0,0.0001,0.9,226.38183224573731
0.4,1.0,0.001,0.9,7.4829388447105885
0.4,5.0,0.001,0.9,76.53880951693282
0.4,10.0,0.001,0.9,152.26374346669763
0.4,15.0,0.001,0.9,227.6379670756869
0.4,5.0,0.01,0.9,76.16663280501962
0.4,10.0,0.01,0.9,152.5188204930164
0.4,15.0,0.01,0.9,228.6438044658862
0.6,1.0,1e-06,0.25,11.09764064103365
0.6,5.0,1e-06,0.25,94.25164835387841
0.6,10.0,1e-06,0.25,187.30164893297479
0.6,15.0,1e-06,0.25,279.7603490059264
0.6,1.0,1e-05,0.25,11.538399231154472
0.6,5.0,1e-05,0.25,94.82986659836024
0.6,10.0,1e-05,0.25,187.65637193620205
0.6,15.0,1e-05,0.25,280.70126452622935
0.6,1.0,0.0001,0.25,11.226121373008937
0.6,5.0,0.0001,0.25,94.47820000490174
0.6,10.0,0.0001,0.25,187.68287618272007
0.6,15.0,0.0001,0.25,281.54096368001774
0.6,1.0,0.001,0.25,11.639038193039596
0.6,5.0,0.001,0.25,96.76493627484888
0.6,10.0,0.001,0.25,192.95866675907746
0.6,15.0,0.001,0.25,289.0083151301369
0.6,1.0,0.01,0.25,10.912165436893702
0.6,5.0,0.01,0.25,93.42527495510876
0.6,10.0,0.01,0.25,185.9921078197658
0.6,15.0,0.01,0.25,278.2361844750121
0.6,1.0,1e-06,0.5,11.296941470354795
0.6,5.0,1e-06,0.5,94.31702124839649
0.6,10.0,1e-06,0.5,187.68710716301575
0.6,15.0,1e-06,0.5,281.1819130182266
0.6,1.0,1e-05,0.5,10.840896174311638
0.6,5.0,1e-05,0.5,92.58134865108877
0.6,10.0,1e-05,0.5,184.52030222211033
0.6,15.0,1e-05,0.5,276.4312119190581
0.6,1.0,0.0001,0.5,11.248339782934636
0.6,5.0,0.0001,0.5,93.81273878598586
0.6,10.0,0.0001,0.5,187.58047454804182
0.6,15.0,0.0001,0.5,281.6117140450515
0.6,5.0,0.001,0.5,95.31856210716069
0.6,10.0,0.001,0.5,189.80871856212616
0.6,15.0,0.001,0.5,284.2645663060248
0.6,1.0,0.01,0.5,11.611575560178608
0.6,5.0,0.01,0.5,95.43079493194818
0.6,10.0,0.01,0.5,189.77009377721697
0.6,15.0,0.01,0.5,283.709612341132
0.6,5.0,1e-06,0.75,95.30167120601982
0.6,10.0,1e-06,0.75,189.14472533622757
0.6,15.0,1e-06,0.75,282.69352128589526
0.6,1.0,1e-05,0.75,11.127477122936398
0.6,5.0,1e-05,0.75,94.82659196620807
0.6,10.0,1e-05,0.75,189.13456144789234
0.6,15.0,1e-05,0.75,283.37527026608586
0.6,1.0,0.0001,0.75,11.34832556033507
0.6,5.0,0.0001,0.75,95.03676613233984
0.6,10.0,0.0001,0.75,188.52286862023175
0.6,15.0,0.0001,0.75,282.52107375394553
0.6,1.0,0.001,0.75,11.358864502981305
0.6,5.0,0.001,0.75,95.8198134759441
0.6,10.0,0.001,0.75,189.96977762365714
0.6,15.0,0.001,0.75,283.6697770366445
0.6,5.0,0.01,0.75,96.08505450794473
0.6,10.0,0.01,0.75,189.98557154275477
0.6,15.0,0.01,0.75,285.06351809669286
0.6,1.0,1e-06,0.9,11.375953121110797
0.6,5.0,1e-06,0.9,95.29100635508075
0.6,10.0,1e-06,0.9,188.9009516676888
0.6,15.0,1e-06,0.9,283.21966382069513
0.6,1.0,1e-05,0.9,11.153048667125404
0.6,5.0,1e-05,0.9,94.1374322399497
0.6,10.0,1e-05,0.9,188.34493207093328
0.6,15.0,1e-05,0.9,282.9890081239864
0.6,1.0,0.0001,0.9,11.514195756986737
0.6,5.0,0.0001,0.9,94.75081572681665
0.6,10.0,0.0001,0.9,187.67044048709795
0.6,15.0,0.0001,0.9,281.35778662003577
0.6,1.0,0.001,0.9,11.159862863831222
0.6,5.0,0.001,0.9,94.36586049571633
0.6,10.0,0.001,0.9,188.31469071283937
0.6,15.0,0.001,0.9,282.1297831698321
0.6,1.0,0.01,0.9,11.266068638768047
0.6,5.0,0.01,0.9,93.80426668003201
0.6,10.0,0.01,0.9,187.13686282001436
0.6,15.0,0.01,0.9,280.2295445208438
0.8,1.0,1e-06,0.25,16.72351735411212
0.8,5.0,1e-06,0.25,128.42751727206632
0.8,10.0,1e-06,0.25,253.1397055061534
0.8,15.0,1e-06,0.25,379.5417936537415
0.8,1.0,1e-05,0.25,16.35903614992276
0.8,5.0,1e-05,0.25,124.42892532795668
0.8,10.0,1e-05,0.25,247.04264574497938
0.8,15.0,1e-05,0.25,370.1040537827648
0.8,1.0,0.0001,0.25,16.493086010217667
0.8,5.0,0.0001,0.25,124.05991593422368
0.8,10.0,0.0001,0.25,246.31596194813028
0.8,15.0,0.0001,0.25,369.3518352629617
0.8,1.0,0.001,0.25,16.385256104171276
0.8,5.0,0.001,0.25,122.82057186495513
0.8,10.0,0.001,0.25,244.5556056429632
0.8,15.0,0.001,0.25,366.45560131780803
0.8,1.0,0.01,0.25,16.923611376900226
0.8,5.0,0.01,0.25,125.74033504910767
0.8,10.0,0.01,0.25,250.04137392807752
0.8,15.0,0.01,0.25,374.1462219581008
0.8,1.0,1e-06,0.5,16.528366720769554
0.8,5.0,1e-06,0.5,125.61962204379961
0.8,10.0,1e-06,0.5,250.31488387985155
0.8,15.0,1e-06,0.5,374.6783747477457
0.8,1.0,1e-05,0.5,16.920987237710506
0.8,5.0,1e-05,0.5,127.2780495500192
0.8,10.0,1e-05,0.5,253.21361457789317
0.8,15.0,1e-05,0.5,378.7976925210096
0.8,1.0,0.0001,0.5,16.76203401805833
0.8,5.0,0.0001,0.5,125.9083111481741
0.8,10.0,0.0001,0.5,249.51820990722626
0.8,15.0,0.0001,0.5,373.66957740904763
0.8,1.0,0.001,0.5,14.733984800055623
0.8,5.0,0.001,0.5,110.02507863007486
0.8,10.0,0.001,0.5,219.47084031812847
0.8,15.0,0.001,0.5,328.89593372587115
0.8,1.0,0.01,0.5,14.358494130894542
0.8,5.0,0.01,0.5,106.7529964717105
0.8,10.0,0.01,0.5,212.0692216316238
0.8,15.0,0.01,0.5,317.51244628382847
0.8,1.0,1e-06,0.75,14.299423743970692
0.8,5.0,1e-06,0.75,106.34370086994022
0.8,10.0,1e-06,0.75,211.5734199169092
0.8,15.0,1e-06,0.75,317.18677958101034
0.8,1.0,1e-05,0.75,14.583717301022261
0.8,5.0,1e-05,0.75,110.30954988393933
0.8,10.0,1e-05,0.75,230.52884874399751
0.8,15.0,1e-05,0.75,352.52206042408943
0.8,1.0,0.0001,0.75,15.198387084994465
0.8,5.0,0.0001,0.75,118.98784500127658
0.8,10.0,0.0001,0.75,241.95654928823933
0.8,15.0,0.0001,0.75,364.1095938193612
0.8,1.0,0.001,0.75,15.864208205137402
0.8,5.0,0.001,0.75,118.40799736697227
0.8,10.0,0.001,0.75,235.6061453432776
0.8,15.0,0.001,0.75,352.39430630300194
0.8,5.0,0.01,0.75,124.17775111598894
0.8,10.0,0.01,0.75,246.51806473871693
0.8,15.0,0.01,0.75,369.1025450578891
0.8,1.0,1e-06,0.9,15.417008346877992
0.8,5.0,1e-06,0.9,115.08721458213404
0.8,10.0,1e-06,0.9,228.67820423096418
0.8,15.0,1e-06,0.9,341.94335691910237
0.8,1.0,1e-05,0.9,15.204137641005218
0.8,5.0,1e-05,0.9,113.06089123804122
0.8,10.0,1e-05,0.9,224.63307885732502
0.8,15.0,1e-05,0.9,336.10339324129745
0.8,1.0,0.0001,0.9,16.0495513449423
0.8,5.0,0.0001,0.9,122.32786933099851
0.8,10.0,0.0001,0.9,242.71280390722677
0.8,15.0,0.0001,0.9,363.78926548501477
0.8,1.0,0.001,0.9,15.968580150976777
0.8,5.0,0.001,0.9,121.77346367109567
0.8,10.0,0.001,0.9,241.43162061972544
0.8,15.0,0.001,0.9,360.7560358531773
0.8,5.0,0.01,0.9,121.14763577003032
0.8,10.0,0.01,0.9,241.5752712697722
0.8,15.0,0.01,0.9,361.1455521979369
